Vardas         Pavardė       ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas175      Pavardė175    3         4         1         9         8         4         6         5         4         7         4         2         4         1         9         10        
Vardas176      Pavardė176    2         9         2         10        2         10        10        3         7         1         3         9         6         4         6         4         
Vardas177      Pavardė177    2         3         10        7         8         1         2         9         7         3         3         2         8         1         3         8         
Vardas178      Pavardė178    9         9         4         8         4         1         3         9         5         8         4         10        3         8         5         10        
Vardas179      Pavardė179    9         7         8         7         8         1         10        7         9         10        7         6         4         7         5         2         
Vardas180      Pavardė180    10        3         3         4         1         3         8         6         6         9         4         9         1         1         10        7         
Vardas181      Pavardė181    8         9         1         3         5         2         8         1         9         7         3         6         7         7         2         4         
Vardas182      Pavardė182    5         7         3         7         3         7         4         5         2         4         4         6         3         4         1         10        
Vardas183      Pavardė183    2         8         3         10        10        2         7         9         10        4         2         6         10        5         10        6         
Vardas184      Pavardė184    3         4         10        1         4         7         4         10        1         6         9         3         6         10        7         5         
Vardas185      Pavardė185    2         8         10        6         2         10        7         1         3         7         5         6         7         3         2         1         
Vardas186      Pavardė186    2         10        2         4         1         10        1         8         2         3         5         7         1         3         7         3         
Vardas187      Pavardė187    7         7         3         3         4         4         2         10        4         1         2         3         5         7         2         1         
Vardas188      Pavardė188    6         2         2         6         3         4         10        6         2         2         5         2         9         5         9         10        
Vardas189      Pavardė189    4         10        6         10        4         6         10        6         3         2         4         1         10        3         4         6         
Vardas190      Pavardė190    4         9         9         6         1         1         1         8         2         9         9         3         8         7         4         8         
Vardas191      Pavardė191    3         6         7         9         9         5         9         1         10        4         7         8         8         5         3         5         
Vardas192      Pavardė192    10        8         1         7         9         2         6         5         10        5         4         5         4         9         10        5         
Vardas193      Pavardė193    7         8         5         4         10        1         10        1         2         1         3         9         9         2         1         10        
Vardas194      Pavardė194    2         6         1         1         6         7         9         4         5         8         6         1         10        1         6         2         
Vardas195      Pavardė195    5         2         9         4         8         3         8         5         7         3         9         1         2         4         10        5         
Vardas196      Pavardė196    9         3         6         5         6         6         4         1         9         5         9         3         10        9         2         8         
Vardas197      Pavardė197    8         2         6         6         7         5         5         8         7         5         1         7         4         10        4         2         
Vardas198      Pavardė198    10        5         7         6         6         5         5         3         1         8         4         2         1         7         7         1         
Vardas199      Pavardė199    5         4         6         10        3         4         5         8         1         3         3         3         3         6         6         4         
Vardas200      Pavardė200    4         2         9         4         5         5         3         2         10        5         8         6         4         3         1         2         
Vardas201      Pavardė201    3         9         1         7         8         9         6         9         7         4         1         5         5         9         1         10        
Vardas202      Pavardė202    9         1         10        5         6         3         6         5         3         10        6         1         7         3         4         10        
Vardas203      Pavardė203    5         5         5         7         10        7         10        4         10        1         6         2         6         1         1         8         
Vardas204      Pavardė204    1         10        7         9         8         7         10        5         4         1         7         7         2         2         6         3         
Vardas205      Pavardė205    1         7         3         7         9         2         8         5         8         9         9         2         1         3         9         4         
Vardas206      Pavardė206    7         3         10        6         10        2         7         9         7         7         5         2         2         8         3         3         
Vardas207      Pavardė207    2         8         7         7         5         7         2         6         1         9         5         7         5         4         3         7         
Vardas208      Pavardė208    4         5         6         1         6         6         9         9         8         6         1         3         5         2         6         2         
Vardas209      Pavardė209    4         9         9         4         1         4         4         6         10        5         8         2         7         1         5         3         
Vardas210      Pavardė210    7         6         3         7         2         1         8         5         4         1         8         10        7         10        7         8         
Vardas211      Pavardė211    8         2         10        6         8         7         9         1         5         5         5         1         7         3         10        10        
Vardas212      Pavardė212    1         5         7         4         4         5         9         10        8         4         1         5         4         6         9         7         
Vardas213      Pavardė213    10        3         8         8         6         6         3         6         1         9         9         7         5         4         3         8         
Vardas214      Pavardė214    1         9         8         4         7         6         2         10        9         6         9         10        4         4         8         1         
Vardas215      Pavardė215    5         2         10        4         8         6         8         4         1         8         2         6         8         3         1         10        
Vardas216      Pavardė216    1         10        7         10        9         8         5         6         4         7         8         1         9         3         3         1         
Vardas217      Pavardė217    4         8         7         2         10        3         3         5         7         1         9         7         4         4         1         3         
Vardas218      Pavardė218    9         7         9         4         8         2         7         10        2         5         10        4         7         3         9         10        
Vardas219      Pavardė219    1         10        5         9         3         5         4         10        9         3         10        5         3         1         2         6         
Vardas220      Pavardė220    5         2         8         1         10        3         3         4         5         7         1         7         3         3         4         7         
Vardas221      Pavardė221    7         7         3         2         9         2         1         2         9         4         1         10        4         9         4         4         
Vardas222      Pavardė222    2         2         3         8         5         1         7         6         5         3         7         5         2         1         10        8         
Vardas223      Pavardė223    7         2         1         4         1         8         9         3         9         10        2         7         10        9         9         3         
Vardas224      Pavardė224    10        5         1         9         3         3         6         6         3         8         8         5         8         8         8         7         
Vardas225      Pavardė225    1         10        7         2         9         10        5         2         2         2         4         4         1         10        4         7         
Vardas226      Pavardė226    7         9         2         9         4         5         9         5         2         10        8         4         5         6         5         7         
Vardas227      Pavardė227    10        8         10        9         5         9         10        4         1         3         9         2         10        9         8         5         
Vardas228      Pavardė228    2         5         2         7         6         1         6         2         3         3         10        2         8         3         6         3         
Vardas229      Pavardė229    9         5         1         1         3         9         6         8         10        3         5         9         8         10        1         7         
Vardas230      Pavardė230    5         1         10        2         4         3         5         5         2         1         3         3         10        4         9         9         
Vardas231      Pavardė231    9         8         8         8         10        9         10        4         6         1         4         8         4         7         10        5         
Vardas232      Pavardė232    10        3         8         5         4         1         10        4         6         7         1         3         5         5         8         3         
Vardas233      Pavardė233    6         6         5         2         7         3         9         1         5         3         5         8         2         6         8         7         
Vardas234      Pavardė234    9         2         8         5         4         2         1         2         7         4         7         3         8         3         7         4         
Vardas235      Pavardė235    10        5         7         7         4         2         4         5         10        6         1         2         3         3         5         4         
